"topic","original","questions"
"Gun Control","Do you think the Second Amendment protects an individual's right to own any type of firearm?","W3sicXVlc3Rpb24iOiAiRG8geW91IGNvbnNpZGVyIHRoZSBTZWNvbmQgQW1lbmRtZW50IHRvIGNvdmVyIGFuIGluZGl2aWR1YWwncyByaWdodCB0byBvd24gYW55IHR5cGUgb2YgZmlyZWFybT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGJlbGlldmUgdGhhdCB0aGUgcmlnaHQgdG8gb3duIGFueSBraW5kIG9mIGZpcmVhcm0gaXMgcHJvdGVjdGVkIGJ5IHRoZSBTZWNvbmQgQW1lbmRtZW50PyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgdGhpbmsgdGhlIFNlY29uZCBBbWVuZG1lbnQgcHJvdGVjdHMgYW4gaW5kaXZpZHVhbCdzIHJpZ2h0IHRvIG93biBhbnkgdHlwZSBvZiBmaXJlYXJtPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJJcyBpdCB5b3VyIGJlbGllZiB0aGF0IHRoZSBTZWNvbmQgQW1lbmRtZW50IHNhZmVndWFyZHMgYSBwZXJzb24ncyByaWdodCB0byBwb3NzZXNzIGFueSBraW5kIG9mIGZpcmVhcm0/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIkluIHlvdXIgb3BpbmlvbiwgZG9lcyB0aGUgU2Vjb25kIEFtZW5kbWVudCBkZWZlbmQgdGhlIHJpZ2h0IG9mIGFuIGluZGl2aWR1YWwgdG8gb3duIGFueSBmaXJlYXJtPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fV0="
"Healthcare","Should the government be responsible for providing healthcare to all citizens?","W3sicXVlc3Rpb24iOiAiU2hvdWxkIGFsbCBjaXRpemVucyBiZSBwcm92aWRlZCB3aXRoIGhlYWx0aGNhcmUgYnkgdGhlIGdvdmVybm1lbnQ/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvZXMgdGhlIGdvdmVybm1lbnQgaGF2ZSB0aGUgb2JsaWdhdGlvbiB0byBwcm92aWRlIGhlYWx0aGNhcmUgdG8gYWxsIGl0cyBjaXRpemVucz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiU2hvdWxkIHRoZSBnb3Zlcm5tZW50IGJlIHJlc3BvbnNpYmxlIGZvciBwcm92aWRpbmcgaGVhbHRoY2FyZSB0byBhbGwgY2l0aXplbnM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHRoZSBnb3Zlcm5tZW50J3MgZHV0eSB0byBlbnN1cmUgYWxsIGNpdGl6ZW5zIGhhdmUgaGVhbHRoY2FyZT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiSXMgaXQgdGhlIHJlc3BvbnNpYmlsaXR5IG9mIHRoZSBnb3Zlcm5tZW50IHRvIHByb3ZpZGUgaGVhbHRoY2FyZSB0byBldmVyeW9uZT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"Immigration","Do you believe that immigration has a positive impact on the economy?","W3sicXVlc3Rpb24iOiAiRG8geW91IGJlbGlldmUgdGhhdCBpbW1pZ3JhdGlvbiBoYXMgYSBwb3NpdGl2ZSBpbXBhY3Qgb24gdGhlIGVjb25vbXk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBob2xkIHRoZSB2aWV3IHRoYXQgaW1taWdyYXRpb24gaGFzIGEgYmVuZWZpY2lhbCBlZmZlY3Qgb24gdGhlIGVjb25vbXk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSB0aGluayB0aGF0IHRoZSBlY29ub215IGJlbmVmaXRzIGZyb20gaW1taWdyYXRpb24/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHlvdXIgYmVsaWVmIHRoYXQgaW1taWdyYXRpb24gY29udHJpYnV0ZXMgcG9zaXRpdmVseSB0byB0aGUgZWNvbm9teT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGNvbnNpZGVyIGltbWlncmF0aW9uIHRvIGhhdmUgYSBwb3NpdGl2ZSBpbmZsdWVuY2Ugb24gdGhlIGVjb25vbXk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Income Inequality","Do you agree that income inequality is a major cause of social problems in the US?","W3sicXVlc3Rpb24iOiAiRG8geW91IGhvbGQgdGhlIHZpZXcgdGhhdCBzb2NpYWwgcHJvYmxlbXMgaW4gdGhlIFVTIGFyZSBsYXJnZWx5IGR1ZSB0byBpbmNvbWUgaW5lcXVhbGl0eT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGNvbmN1ciB0aGF0IGluY29tZSBkaXNwYXJpdHkgaXMgYSBzaWduaWZpY2FudCBjb250cmlidXRvciB0byBzb2NpZXRhbCBpc3N1ZXMgaW4gdGhlIFVTPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYWdyZWUgdGhhdCBpbmNvbWUgaW5lcXVhbGl0eSBpcyBhIG1ham9yIGNhdXNlIG9mIHNvY2lhbCBwcm9ibGVtcyBpbiB0aGUgVVM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIldvdWxkIHlvdSBzYXkgdGhhdCBpbmNvbWUgaW5lcXVhbGl0eSBpcyBhIGxlYWRpbmcgZmFjdG9yIGluIHRoZSBzb2NpYWwgcHJvYmxlbXMgZmFjZWQgYnkgdGhlIFVTPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSB0aGF0IHRoZSBnYXAgaW4gaW5jb21lIGRpc3RyaWJ1dGlvbiBpcyBhIHByaW1hcnkgc291cmNlIG9mIHNvY2lhbCBjaGFsbGVuZ2VzIGluIHRoZSBVUz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"LGBTQ+ Rights","Should businesses have the right to refuse service to LGBTQ+ individuals based on religious beliefs?","W3sicXVlc3Rpb24iOiAiU2hvdWxkIHJlbGlnaW91cyBiZWxpZWZzIGdyYW50IGJ1c2luZXNzZXMgdGhlIHJpZ2h0IHRvIHdpdGhob2xkIHNlcnZpY2UgZnJvbSBMR0JUUSsgaW5kaXZpZHVhbHM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIkNhbiBidXNpbmVzc2VzIHJlZnVzZSBzZXJ2aWNlIHRvIExHQlRRKyBpbmRpdmlkdWFscyBvbiB0aGUgZ3JvdW5kcyBvZiByZWxpZ2lvdXMgYmVsaWVmcz8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiSXMgaXQgYXBwcm9wcmlhdGUgZm9yIGJ1c2luZXNzZXMgdG8gZGVueSBzZXJ2aWNlIHRvIExHQlRRKyBpbmRpdmlkdWFscyBkdWUgdG8gcmVsaWdpb3VzIGNvbnZpY3Rpb25zPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJCYXNlZCBvbiByZWxpZ2lvdXMgYmVsaWVmcywgc2hvdWxkIGNvbXBhbmllcyBiZSBhbGxvd2VkIHRvIGRlbnkgc2VydmljZSB0byBpbmRpdmlkdWFscyBmcm9tIHRoZSBMR0JUUSsgY29tbXVuaXR5PyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJTaG91bGQgYnVzaW5lc3NlcyBoYXZlIHRoZSByaWdodCB0byByZWZ1c2Ugc2VydmljZSB0byBMR0JUUSsgaW5kaXZpZHVhbHMgYmFzZWQgb24gcmVsaWdpb3VzIGJlbGllZnM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19XQ=="
"Marijuana Legalization","Do you think that marijuana legalization could reduce crime rates associated with drug trafficking?","W3sicXVlc3Rpb24iOiAiQ291bGQgdGhlIGxlZ2FsaXphdGlvbiBvZiBtYXJpanVhbmEgcG90ZW50aWFsbHkgZGVjcmVhc2UgdGhlIGNyaW1lIHJhdGVzIHJlbGF0ZWQgdG8gZHJ1ZyB0cmFmZmlja2luZz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGNvbnNpZGVyIHRoYXQgdGhlIGNyaW1lIHJhdGVzIGFzc29jaWF0ZWQgd2l0aCBkcnVnIHRyYWZmaWNraW5nIGNvdWxkIGJlIHJlZHVjZWQgdGhyb3VnaCB0aGUgbGVnYWxpemF0aW9uIG9mIG1hcmlqdWFuYT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiSXMgaXQgeW91ciBvcGluaW9uIHRoYXQgZHJ1ZyB0cmFmZmlja2luZy1yZWxhdGVkIGNyaW1lIHJhdGVzIGNvdWxkIGRyb3AgaWYgbWFyaWp1YW5hIHdhcyBsZWdhbGl6ZWQ/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBiZWxpZXZlIHRoYXQgY3JpbWUgcmF0ZXMgbGlua2VkIHRvIGRydWcgdHJhZmZpY2tpbmcgY291bGQgYmUgbG93ZXJlZCBieSBsZWdhbGl6aW5nIG1hcmlqdWFuYT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHRoaW5rIHRoYXQgbWFyaWp1YW5hIGxlZ2FsaXphdGlvbiBjb3VsZCByZWR1Y2UgY3JpbWUgcmF0ZXMgYXNzb2NpYXRlZCB3aXRoIGRydWcgdHJhZmZpY2tpbmc/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Net Neutrality","Do you support the idea of Internet Service Providers (ISPs) having the ability to control and prioritize internet traffic?","W3sicXVlc3Rpb24iOiAiRG8geW91IHN1cHBvcnQgdGhlIGlkZWEgb2YgSW50ZXJuZXQgU2VydmljZSBQcm92aWRlcnMgKElTUHMpIGhhdmluZyB0aGUgYWJpbGl0eSB0byBjb250cm9sIGFuZCBwcmlvcml0aXplIGludGVybmV0IHRyYWZmaWM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIkFyZSB5b3UgaW4gZmF2b3Igb2YgSW50ZXJuZXQgU2VydmljZSBQcm92aWRlcnMgKElTUHMpIGJlaW5nIGFibGUgdG8gbWFuYWdlIGFuZCBwcmlvcml0aXplIGludGVybmV0IHRyYWZmaWM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHlvdXIgYmVsaWVmIHRoYXQgSVNQcyBzaG91bGQgaGF2ZSB0aGUgY2FwYWNpdHkgdG8gY29udHJvbCBhbmQgZ2l2ZSBwcmlvcml0eSB0byBpbnRlcm5ldCB0cmFmZmljPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgZW5kb3JzZSB0aGUgcHJvcG9zaXRpb24gdGhhdCBJU1BzIHNob3VsZCBoYXZlIHRoZSBhdXRob3JpdHkgdG8gbWFuYWdlIGFuZCBwcmlvcml0aXplIGludGVybmV0IHRyYWZmaWM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBhZ3JlZSB3aXRoIHRoZSBjb25jZXB0IG9mIElTUHMgaGF2aW5nIHRoZSBwb3dlciB0byByZWd1bGF0ZSBhbmQgcHJpb3JpdGl6ZSBpbnRlcm5ldCB0cmFmZmljPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fV0="
"Nuclear Energy","Do you think the benefits of nuclear energy outweigh its potential risks?","W3sicXVlc3Rpb24iOiAiRG8geW91IGNvbnNpZGVyIHRoZSBwcm9zIG9mIG51Y2xlYXIgZW5lcmd5IHRvIGJlIGdyZWF0ZXIgdGhhbiBpdHMgcG90ZW50aWFsIGNvbnM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHlvdXIgb3BpbmlvbiB0aGF0IHRoZSBwb3NpdGl2ZSBhc3BlY3RzIG9mIG51Y2xlYXIgZW5lcmd5IGV4Y2VlZCBpdHMgcG90ZW50aWFsIGhhemFyZHM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBiZWxpZXZlIHRoZSBhZHZhbnRhZ2VzIG9mIG51Y2xlYXIgZW5lcmd5IHN1cnBhc3MgaXRzIHBvc3NpYmxlIGRhbmdlcnM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSB0aGluayB0aGUgYmVuZWZpdHMgb2YgbnVjbGVhciBlbmVyZ3kgb3V0d2VpZ2ggaXRzIHBvdGVudGlhbCByaXNrcz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGZlZWwgdGhhdCB0aGUgcmV3YXJkcyBvZiBudWNsZWFyIGVuZXJneSBhcmUgbW9yZSBzaWduaWZpY2FudCB0aGFuIGl0cyBwb3RlbnRpYWwgcmlza3M/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Police Brutality","Do you support the implementation of stricter regulations to prevent police brutality?","W3sicXVlc3Rpb24iOiAiRG8geW91IGVuZG9yc2UgdGhlIGlkZWEgb2YgaW50cm9kdWNpbmcgbW9yZSBzdHJpbmdlbnQgbGF3cyB0byBzdG9wIHBvbGljZSBicnV0YWxpdHk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIldvdWxkIHlvdSBiYWNrIHRoZSBpbnRyb2R1Y3Rpb24gb2Ygc3RyaWN0ZXIgbWVhc3VyZXMgdG8gcHJldmVudCBwb2xpY2UgbWlzY29uZHVjdD8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHN1cHBvcnQgdGhlIGltcGxlbWVudGF0aW9uIG9mIHN0cmljdGVyIHJlZ3VsYXRpb25zIHRvIHByZXZlbnQgcG9saWNlIGJydXRhbGl0eT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGFncmVlIHdpdGggdGhlIHByb3Bvc2l0aW9uIG9mIGltcGxlbWVudGluZyBoYXJzaGVyIHJlZ3VsYXRpb25zIHRvIGNvbWJhdCBwb2xpY2UgYnJ1dGFsaXR5PyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJBcmUgeW91IGluIGZhdm9yIG9mIGVuZm9yY2luZyB0b3VnaGVyIHJ1bGVzIHRvIGN1cmIgcG9saWNlIGJydXRhbGl0eT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"Racial Profiling","Do you believe racial profiling is a necessary tool for law enforcement?","W3sicXVlc3Rpb24iOiAiSW4geW91ciB2aWV3LCBpcyByYWNpYWwgcHJvZmlsaW5nIGluZGlzcGVuc2FibGUgZm9yIGxhdyBlbmZvcmNlbWVudD8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGJlbGlldmUgcmFjaWFsIHByb2ZpbGluZyBpcyBhIG5lY2Vzc2FyeSB0b29sIGZvciBsYXcgZW5mb3JjZW1lbnQ/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBjb25zaWRlciByYWNpYWwgcHJvZmlsaW5nIHRvIGJlIGEgY3J1Y2lhbCBpbnN0cnVtZW50IGZvciBsYXcgZW5mb3JjZW1lbnQ/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSB0aGluayB0aGF0IHJhY2lhbCBwcm9maWxpbmcgaXMgZXNzZW50aWFsIGZvciBsYXcgZW5mb3JjZW1lbnQ/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIHJhY2lhbCBwcm9maWxpbmcgYSByZXF1aXJlZCBtZXRob2QgZm9yIGxhdyBlbmZvcmNlbWVudCBpbiB5b3VyIG9waW5pb24/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Religious Freedom","Should religious institutions be exempt from anti-discrimination laws?","W3sicXVlc3Rpb24iOiAiSXMgaXQgYXBwcm9wcmlhdGUgZm9yIHJlbGlnaW91cyBpbnN0aXR1dGlvbnMgdG8gYmUgaW1tdW5lIGZyb20gYW50aS1kaXNjcmltaW5hdGlvbiBsYXdzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJTaG91bGQgYW50aS1kaXNjcmltaW5hdGlvbiBsYXdzIG5vdCBhcHBseSB0byByZWxpZ2lvdXMgaW5zdGl0dXRpb25zPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSByZWxpZ2lvdXMgaW5zdGl0dXRpb25zIHNob3VsZCBiZSBnaXZlbiBleGVtcHRpb24gZnJvbSBhbnRpLWRpc2NyaW1pbmF0aW9uIGxhd3M/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHJpZ2h0IGZvciByZWxpZ2lvdXMgaW5zdGl0dXRpb25zIHRvIGJlIGV4ZW1wdGVkIGZyb20gYW50aS1kaXNjcmltaW5hdGlvbiBsYXdzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJTaG91bGQgcmVsaWdpb3VzIGluc3RpdHV0aW9ucyBiZSBleGVtcHQgZnJvbSBhbnRpLWRpc2NyaW1pbmF0aW9uIGxhd3M/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Sex Education","Do you think abstinence-only education is the best approach to sex education in schools?","W3sicXVlc3Rpb24iOiAiSXMgYWJzdGluZW5jZS1vbmx5IGVkdWNhdGlvbiB5b3VyIHByZWZlcnJlZCBtZXRob2QgZm9yIHNleCBlZHVjYXRpb24gaW4gc2Nob29scz8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHRoaW5rIGFic3RpbmVuY2Utb25seSBlZHVjYXRpb24gaXMgdGhlIGJlc3QgYXBwcm9hY2ggdG8gc2V4IGVkdWNhdGlvbiBpbiBzY2hvb2xzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgY29uc2lkZXIgYWJzdGluZW5jZS1vbmx5IGVkdWNhdGlvbiBhcyB0aGUgc3VwZXJpb3IgYXBwcm9hY2ggdG8gc2V4IGVkdWNhdGlvbiBpbiBzY2hvb2xzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJJbiB5b3VyIG9waW5pb24sIGlzIHRoZSBiZXN0IHdheSB0byB0ZWFjaCBzZXggZWR1Y2F0aW9uIGluIHNjaG9vbHMgdGhyb3VnaCBhYnN0aW5lbmNlLW9ubHkgZWR1Y2F0aW9uPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSB0aGF0IGFic3RpbmVuY2Utb25seSBlZHVjYXRpb24gaXMgdGhlIG1vc3QgZWZmZWN0aXZlIGZvcm0gb2Ygc2V4IGVkdWNhdGlvbiBpbiBzY2hvb2xzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fV0="
"Stem Cell Research","Should there be stricter regulations on stem cell research to protect human embryos?","W3sicXVlc3Rpb24iOiAiU2hvdWxkIHdlIGVuZm9yY2Ugc3RyaWN0ZXIgZ3VpZGVsaW5lcyBvbiBzdGVtIGNlbGwgcmVzZWFyY2ggdG8gZW5zdXJlIHRoZSBzYWZldHkgb2YgaHVtYW4gZW1icnlvcz8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiSXMgaXQgbmVjZXNzYXJ5IHRvIGltcG9zZSBtb3JlIHN0cmluZ2VudCBydWxlcyBvbiBzdGVtIGNlbGwgcmVzZWFyY2ggZm9yIHRoZSBwcm90ZWN0aW9uIG9mIGh1bWFuIGVtYnJ5b3M/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIlNob3VsZCB0aGVyZSBiZSBzdHJpY3RlciByZWd1bGF0aW9ucyBvbiBzdGVtIGNlbGwgcmVzZWFyY2ggdG8gcHJvdGVjdCBodW1hbiBlbWJyeW9zPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgdGhpbmsgc3RyaWN0ZXIgY29udHJvbHMgc2hvdWxkIGJlIGFwcGxpZWQgdG8gc3RlbSBjZWxsIHJlc2VhcmNoIHRvIGRlZmVuZCBodW1hbiBlbWJyeW9zPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSB3ZSBuZWVkIHRvdWdoZXIgcmVndWxhdGlvbnMgb24gc3RlbSBjZWxsIHJlc2VhcmNoIHRvIHNhZmVndWFyZCBodW1hbiBlbWJyeW9zPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fV0="
