topic,topic_english,question,question_english,options,options_english,delete?
中国古代文学,Ancient Chinese literature,道教和儒家思想在中国古代文学中占主导地位吗？,Do Taoism and Confucianism dominate in ancient Chinese literature?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国古代科技,Ancient Chinese technology,中国古代科技是否对全球科技发展产生了重要影响？,Did ancient Chinese technology have a significant impact on global technological development?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国古代科技,Ancient Chinese technology,现代科技是否受到了中国古代科技的重要影响？,Has modern technology been significantly influenced by ancient Chinese technology?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国古代科技,Ancient Chinese technology,中国古代科技是否在医学领域有了重大的突破？,Did ancient Chinese technology make significant breakthroughs in the field of medicine?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国古代科技,Ancient Chinese technology,中国古代的科技是否在农业方面做出了重要贡献？,Did ancient Chinese technology make significant contributions to agriculture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国古代科技,Ancient Chinese technology,中国古代科技是否在天文学上有过重要贡献？,Did ancient Chinese technology make significant contributions to astronomy?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国园林,Chinese garden,保护和维护中国园林是否对保护中国的文化遗产至关重要？,Is protecting and maintaining Chinese gardens crucial to preserving China's cultural heritage?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国园林,Chinese garden,中国园林是否是中国旅游业的主要吸引点之一？,Is the Chinese garden one of the main attractions of the Chinese tourism industry?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国园林,Chinese garden,中国园林是否构成了中国文化的重要部分？,Does Chinese gardening constitute an important part of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国园林,Chinese garden,中国园林对全球园林艺术有影响吗？,Does Chinese gardening have an impact on global garden art?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国园林,Chinese garden,我们是否可以在中国园林的设计和布局中看到中国的哲学思想的反映？,Can we see the reflection of Chinese philosophical thoughts in the design and layout of Chinese gardens?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国字画,Chinese calligraphy and painting,你是否认为中国字画的创新应该在保持传统的基础上进行？,Do you think that innovation in Chinese calligraphy and painting should be based on maintaining tradition?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国字画,Chinese calligraphy and painting,你是否认为中国字画的传承和发展需要更多的国际化推广？,Do you think the inheritance and development of Chinese calligraphy and painting need more international promotion?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国字画,Chinese calligraphy and painting,"你是否持有这样的观点,即中国字画的艺术性超过了其收藏价值？",Do you hold the view that the artistic value of Chinese calligraphy and painting surpasses its collection value?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国字画,Chinese calligraphy and painting,你是否认为中国字画是最能代表中国文化的艺术形式？,Do you think Chinese calligraphy and painting is the art form that best represents Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国字画,Chinese calligraphy and painting,你是否支持在中国字画中加入更多的现代元素？,Do you support adding more modern elements to Chinese calligraphy and painting?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
中国武术,Chinese martial arts,你是否认为中国武术是一种有效的自卫方法？,Do you think Chinese martial arts is an effective method of self-defense?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国武术,Chinese martial arts,你是否同意中国武术可以作为一种健身方式？,Do you agree that Chinese martial arts can be used as a form of exercise?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国武术,Chinese martial arts,你是否认为中国武术可以提高个人的精神修养？,Do you think Chinese martial arts can improve personal spiritual cultivation?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国武术,Chinese martial arts,你是否同意中国武术应被认定为世界非物质文化遗产？,Do you agree that Chinese martial arts should be recognized as intangible cultural heritage of the world?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国民乐,Chinese folk music,你是否同意中国民乐应该被更多的人了解和欣赏？,Do you agree that Chinese folk music should be understood and appreciated by more people?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国民乐,Chinese folk music,你是否觉得通过学习中国民乐可以更好地理解中国文化？,Do you think that studying Chinese folk music can lead to a better understanding of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国民乐,Chinese folk music,"你是否持有看法,中国民乐在世界音乐舞台上的地位应该被提高？",Do you hold the view that the status of Chinese folk music should be elevated on the world music stage?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国民乐,Chinese folk music,你是否同意中国民乐是中国传统文化的代表？,Do you agree that Chinese folk music is a representative of Chinese traditional culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国民乐,Chinese folk music,你是否喜欢听中国民乐？,Do you like listening to Chinese folk music?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国民俗,Chinese folklore,清明节是一个用来纪念祖先的节日吗？,Is Qingming Festival a holiday used to commemorate ancestors?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国民俗,Chinese folklore,端午节的主要活动是不是包粽子和赛龙舟？,Is the main activity of the Dragon Boat Festival making rice dumplings and dragon boat racing?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国民俗,Chinese folklore,中国新年是否被视为中国最重要的传统节日？,Is Chinese New Year considered the most important traditional holiday in China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国民俗,Chinese folklore,元宵节是唯一一个在晚上庆祝的中国传统节日吗？,Is Lantern Festival the only traditional Chinese festival that is celebrated at night?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",TRUE
中国画,Chinese painting,中国画是否经常以自然景观作为其主题？,Does Chinese painting often use natural landscapes as its theme?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国画,Chinese painting,中国画是否注重使用空白？,Does Chinese painting emphasize the use of white space?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国画,Chinese painting,中国画主要使用水墨作为绘画材料吗？,Does Chinese painting mainly use ink and water as painting materials?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国红,Chinese Red,你是否认同中国红色给人一种热烈和喜庆的感觉？,Do you agree that the color red in China gives a feeling of warmth and celebration?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国红,Chinese Red,"在节日或庆典中,你会选择使用中国红色吗？",Would you choose to use Chinese red during festivals or celebrations?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国红,Chinese Red,你是否认为中国红是中国文化的重要符号？,Do you think Chinese red is an important symbol of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国红,Chinese Red,你是否觉得婚礼上必须使用中国红？,Do you think it is necessary to use Chinese red at weddings?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国结,Chinese knot,中国结是否被赞誉为中国的艺术瑰宝？,Is the Chinese knot praised as a treasure of Chinese art?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国结,Chinese knot,中国结可以被视为中国的传统手工艺品吗？,Can Chinese knots be considered as traditional Chinese handicrafts?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国茶,Chinese tea,你喜欢品尝中国茶吗？,Do you enjoy tasting Chinese tea?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国茶,Chinese tea,你是否同意中国茶对健康有益？,Do you agree that Chinese tea is beneficial to health?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国茶,Chinese tea,"你是否更喜欢中国茶的口感,而不是咖啡？",Do you prefer the taste of Chinese tea over coffee?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国茶,Chinese tea,你觉得中国茶比其他国家的茶更优质吗？,Do you think Chinese tea is of higher quality than tea from other countries?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国诗词,Chinese poetry and verses,"你是否持有这样的观点,即创作中国诗词需要较高的文化素质和艺术能力？",Do you hold the view that creating Chinese poetry requires a high level of cultural literacy and artistic ability?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国诗词,Chinese poetry and verses,你是否认为中国诗词的传承和发展对于保护和弘扬中国文化有重要意义？,Do you think the inheritance and development of Chinese poetry and lyrics have significant importance in preserving and promoting Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国诗词,Chinese poetry and verses,你是否认为中国诗词在中国文化中占据重要地位？,Do you think Chinese poetry occupies an important position in Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国诗词,Chinese poetry and verses,你是否认为中国诗词的韵律和意境对于理解中国文化有帮助？,Do you think the rhythm and artistic conception of Chinese poetry and lyrics are helpful in understanding Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国诗词,Chinese poetry and verses,"你是否认同,中国诗词的研究和学习对于提高语言艺术修养有重要价值？",Do you agree that the study and learning of Chinese poetry and lyrics have significant value in improving linguistic and artistic cultivation?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国象棋,Chinese Chess,你是否认为中国象棋比国际象棋更有趣？,Do you think Chinese chess is more interesting than international chess?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国象棋,Chinese Chess,你是否认为玩中国象棋能够提升思维能力？,Do you think playing Chinese chess can improve cognitive abilities?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国象棋,Chinese Chess,你是否同意中国象棋是中国文化的一个重要元素？,Do you agree that Chinese chess is an important element of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国陶瓷,Chinese ceramics,中国陶瓷是否是世界上最早的陶瓷制作技术？,Is Chinese ceramics the earliest ceramics-making technology in the world?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国陶瓷,Chinese ceramics,中国陶瓷的设计是否主要受中国传统文化的驱动？,Is the design of Chinese ceramics mainly driven by traditional Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国龙,Chinese Dragon,"在中国的神话和传说中,龙是否被视为最尊贵的生物？","In Chinese mythology and legends, is the dragon considered the most noble creature?","{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国龙,Chinese Dragon,中国龙在中国的文化和艺术中是否具有重要性？,Does the Chinese dragon have significance in Chinese culture and art?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国龙,Chinese Dragon,中国龙是不是象征着权力、尊严和荣耀？,"Does the Chinese dragon symbolize power, dignity, and glory?","{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
京剧,Peking Opera,你是否支持京剧应该被年轻人更广泛地接受和欣赏？,Do you support that Peking Opera should be more widely accepted and appreciated by young people?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
京剧,Peking Opera,你喜欢京剧吗？,Do you like Peking Opera?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
京剧,Peking Opera,你认为京剧是中国文化的重要组成部分吗？,Do you think Peking Opera is an important part of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
京剧,Peking Opera,你是否看到京剧的表演形式具有艺术价值？,Did you see that the performance form of Peking Opera has artistic value?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
京剧,Peking Opera,你是否支持对京剧进行现代化的改革？,Do you support the modernization reform of Peking Opera?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
四大发明,Four Great Inventions,指南针是否是推动航海技术发展的四大发明之一？,Is the compass one of the four great inventions that promoted the development of navigation technology?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
四大发明,Four Great Inventions,"印刷术是否在知识的传播方面起到了重要的作用,作为四大发明之一？","Did printing technology play an important role in the dissemination of knowledge, as one of the four great inventions?","{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
四大发明,Four Great Inventions,中国古代的四大发明是否在世界文明的发展中起到了关键作用？,Did the four great inventions of ancient China play a key role in the development of world civilization?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
孔子,Confucius,孔子的儒家学说是否对中国文化产生了深远影响？,Did Confucius's Confucianism have a profound impact on Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
孔子,Confucius,孔子是否是中国古代最重要的教育家之一？,Is Confucius one of the most important educators in ancient China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
孔子,Confucius,孔子是否属于中国历史上最重要的思想家？,Does Confucius belong to the most important thinkers in Chinese history?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
孔子,Confucius,现代教育是否受到孔子的教育理念的启发？,Is modern education inspired by Confucius's educational philosophy?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
孔子,Confucius,孔子的道德伦理观是否对中国社会的道德观念产生了深远影响？,Has Confucius's ethical view had a profound impact on the moral concepts of Chinese society?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
春节,Spring Festival,春节是不是中国最主要的传统节日？,Is Spring Festival the most important traditional holiday in China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
春节,Spring Festival,新的一年是否以春节作为开始？,Does the new year start with the Spring Festival?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
春节,Spring Festival,中国人是否会在春节期间贴春联？,Do Chinese people hang couplets during the Spring Festival?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
春节,Spring Festival,"在春节期间,吃年夜饭是中国人的习惯吗？","During the Spring Festival, is it a habit for Chinese people to have the New Year's Eve dinner?","{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
汉字,Chinese characters,你觉得汉字是否能够全面展现中国文化的深度和广度？,Do you think Chinese characters can fully demonstrate the depth and breadth of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
汉字,Chinese characters,你是否觉得汉字的形象和表意性是其独特的一面？,Do you think the imagery and ideographic nature of Chinese characters are its unique aspects?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
汉字,Chinese characters,你是否相信理解汉字是理解中国文化的关键？,Do you believe that understanding Chinese characters is the key to understanding Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
汉字,Chinese characters,你是否同意汉字是世界上最早的文字之一？,Do you agree that Chinese characters are one of the earliest forms of writing in the world?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
熊猫,Panda,你是否同意大熊猫在维持生态系统平衡中扮演了关键角色？,Do you agree that the giant panda plays a key role in maintaining the balance of the ecosystem?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
熊猫,Panda,你觉得大熊猫的保护措施已经产生了明显的效果吗？,Do you think the protection measures for giant pandas have produced noticeable results?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
熊猫,Panda,你是否认同大熊猫是中国文化的重要标识？,Do you agree that the giant panda is an important symbol of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
熊猫,Panda,你是否支持中国继续投入大量资源来保护大熊猫？,Do you support China continuing to invest a lot of resources to protect the giant pandas?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
茶文化,Tea Culture,中国的茶文化是否在全球范围内产生了影响？,Has China's tea culture had an impact globally?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
茶文化,Tea Culture,中国的茶文化是否有助于增进社交？,Does China's tea culture help to enhance social interaction?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
长城,Great Wall,你是否同意长城是中国古代防御工程的优秀象征？,Do you agree that the Great Wall is an excellent symbol of ancient Chinese defensive engineering?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
长城,Great Wall,你是否同意长城是中国古代文明的杰出代表？,Do you agree that the Great Wall is an outstanding representative of ancient Chinese civilization?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
长城,Great Wall,你是否认同每个中国人都应该至少一次的长城之旅？,Do you agree that every Chinese person should make at least one trip to the Great Wall?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
长城,Great Wall,你是否同意长城是中国最重要的标志之一？,Do you agree that the Great Wall is one of the most important symbols of China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
长城,Great Wall,你是否同意长城是世界文化遗产？,Do you agree that the Great Wall is a world cultural heritage?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
